emp_no,first_name,last_name,title,from_date,salary,id,count
232276,Berna,Ruemmler,Senior Staff,2002-07-09,40000,24393,12771
32465,Yucel,Dymetman,Senior Engineer,2002-07-09,40000,4177,13538
283185,Fabrizio,Schapire,Senior Engineer,2002-07-09,40000,33539,13538
12601,Ghassan,Simkin,Senior Engineer,2002-07-09,41714,449,13538
35570,Baocai,Katzenelson,Senior Engineer,2002-07-09,55970,4709,13538
427055,Toong,Rosis,Senior Engineer,2002-07-09,40000,41532,13538
488941,Wayne,Zeidenstein,Senior Staff,2002-07-09,46812,52707,12771
223543,Basil,Peres,Senior Engineer,2002-07-08,61263,22835,13538
56808,Yuriy,Anick,Senior Staff,2002-07-08,40000,8620,12771
275189,Sachar,Katzenelson,Engineer,2002-07-08,45637,32108,2696
486012,Ramzi,Shanbhogue,Senior Engineer,2002-07-08,51735,52165,13538
226275,Alain,Katiyar,Senior Engineer,2002-07-08,77454,23339,13538
20558,Toong,Panangaden,Senior Staff,2002-07-07,40000,1907,12771
415320,Mingzeng,Mullainathan,Senior Engineer,2002-07-07,40000,39441,13538
81079,Nahla,Mellouli,Senior Staff,2002-07-07,53145,13150,12771
207793,Magdalena,Passafiume,Senior Engineer,2002-07-07,40000,19949,13538
298261,Tommaso,Mateescu,Senior Engineer,2002-07-07,47420,36339,13538
106417,Kwun,Clouatre,Senior Staff,2002-07-06,40000,17867,12771
285002,Turgut,Ranai,Senior Engineer,2002-07-06,42271,33904,13538
259583,Kiyomitsu,Swan,Senior Staff,2002-07-06,40000,29285,12771
445910,Patricia,Fritzsche,Senior Staff,2002-07-06,53423,44845,12771
416690,Ulf,Mahmud,Senior Staff,2002-07-05,80568,39690,12771
413160,Tadanori,Felcyn,Senior Staff,2002-07-05,94214,39073,12771
109189,Billie,Codenie,Senior Staff,2002-07-05,73531,18392,12771
401017,Shigeu,Provine,Senior Staff,2002-07-05,76730,36862,12771
273601,Anwar,Seiwald,Senior Engineer,2002-07-05,40000,31815,13538
109809,Kazuhide,Cherinka,Senior Engineer,2002-07-04,41558,18510,13538
241880,Moty,Erev,Senior Staff,2002-07-04,66915,26120,12771
295365,Jianhui,Bridgland,Senior Engineer,2002-07-04,47401,35766,13538
451010,Ger,Schusler,Senior Engineer,2002-07-04,51933,45755,13538
278531,Zeljko,Serre,Senior Staff,2002-07-04,55662,32700,12771
262216,Ennio,Auria,Senior Staff,2002-07-04,76452,29761,12771
36573,Xuedong,Lakshmanan,Senior Engineer,2002-07-04,40000,4875,13538
77325,Feiyu,Brickell,Senior Staff,2002-07-03,70697,12427,12771
289961,Kitty,Ponthieu,Senior Engineer,2002-07-02,66418,34807,13538
24596,Ayonca,Stranks,Senior Staff,2002-07-02,68819,2682,12771
59783,Volkmar,Raczkowsky,Senior Staff,2002-07-02,60047,9219,12771
69647,Deborah,Pileggi,Senior Staff,2002-07-02,64210,10989,12771
492323,Houman,Stanfel,Senior Staff,2002-07-02,96794,53315,12771
462289,Kenroku,Adachi,Senior Engineer,2002-07-01,44191,47838,13538
50512,Yolla,Shimshoni,Senior Engineer,2002-07-01,40000,7485,13538
265161,Hausi,Pfau,Senior Staff,2002-06-30,40000,30331,12771
35510,JoAnne,Merks,Senior Engineer,2002-06-30,40000,4697,13538
255499,Dannz,Engelmann,Senior Staff,2002-06-30,72737,28504,12771
285243,Lakshmi,Vieth,Senior Staff,2002-06-30,52052,33951,12771
24383,Aksel,Erev,Senior Engineer,2002-06-30,40000,2638,13538
104610,Fusako,Peak,Senior Staff,2002-06-29,61345,17514,12771
488121,Urs,Schneeberger,Senior Engineer,2002-06-29,40000,52557,13538
61465,Sumant,Huttel,Senior Staff,2002-06-29,44950,9541,12771
15066,Tomokazu,Oaver,Senior Engineer,2002-06-29,43455,881,13538
290536,Kiam,Janetzko,Senior Engineer,2002-06-28,40000,34910,13538
211837,Billur,Porotnikoff,Senior Engineer,2002-06-28,40000,20695,13538
281699,Filipe,Penz,Senior Staff,2002-06-28,40000,33274,12771
45977,Ulf,Wiegley,Senior Staff,2002-06-28,44570,6622,12771
458058,Marjo,Klassen,Senior Engineer,2002-06-26,42140,47030,13538
43996,Hiroyasu,Bodoff,Senior Engineer,2002-06-25,57941,6233,13538
280598,Takanari,Lovengreen,Senior Staff,2002-06-25,40920,33073,12771
33205,Matk,Egerstedt,Senior Engineer,2002-06-25,67507,4317,13538
262041,Eckart,Valette,Senior Engineer,2002-06-24,40000,29738,13538
449604,Ottavia,Varman,Senior Engineer,2002-06-24,45571,45508,13538
208256,Hugh,Mungall,Senior Engineer,2002-06-24,40000,20030,13538
285294,Sorina,Kitai,Senior Engineer,2002-06-24,56537,33963,13538
490453,Eckart,Baik,Senior Engineer,2002-06-24,40000,52987,13538
239873,Mohd,Baaz,Senior Engineer,2002-06-23,47475,25823,13538
471942,Heekeun,Hardjono,Senior Engineer,2002-06-23,59805,49569,13538
105167,Lillian,Comyn,Senior Staff,2002-06-23,68908,17614,12771
462859,Xinglin,Gire,Senior Engineer,2002-06-23,40000,47935,13538
221475,Wilmer,Engelmann,Senior Engineer,2002-06-22,43027,22439,13538
30606,Chuanyi,Shrader,Senior Engineer,2002-06-22,50508,3823,13538
277869,Berto,Kakkar,Senior Engineer,2002-06-22,55457,32569,13538
474194,Ult,Iisaka,Senior Engineer,2002-06-22,46451,49974,13538
73868,Moon,Goodrum,Senior Engineer,2002-06-22,79654,11748,13538
440788,Zita,Mawatari,Senior Engineer,2002-06-21,41491,43941,13538
254880,Tran,Rassart,Senior Staff,2002-06-21,77640,28396,12771
65594,Dietrich,Sadowski,Senior Engineer,2002-06-21,40000,10267,13538
494853,Yechiam,Lunt,Senior Staff,2002-06-21,72948,53799,12771
44682,Souichi,Boissier,Senior Staff,2002-06-19,82058,6362,12771
413905,Piyawadee,Gelosh,Engineer,2002-06-19,55848,39202,2696
22012,DeForest,Armand,Senior Engineer,2002-06-18,42886,2158,13538
209316,Jaana,Kuszyk,Senior Engineer,2002-06-18,40000,20239,13538
87637,Qingxiang,Aamodt,Senior Staff,2002-06-18,40000,14437,12771
475810,Martial,Bellone,Senior Staff,2002-06-18,61994,50286,12771
445220,Florina,Luft,Senior Staff,2002-06-17,58098,44689,12771
257274,Yagil,Perfilyeva,Senior Engineer,2002-06-17,40000,28809,13538
35558,Kshitij,Staudhammer,Senior Staff,2002-06-17,62866,4704,12771
95541,Chinho,Whitcomb,Senior Engineer,2002-06-17,40000,15885,13538
47766,Gunilla,Simmel,Senior Staff,2002-06-17,55261,6945,12771
404674,Rajmohan,Furedi,Senior Engineer,2002-06-17,53382,37485,13538
256852,Shir,Tanemo,Senior Staff,2002-06-17,61271,28743,12771
484799,Peternela,Roohalamini,Senior Engineer,2002-06-16,46839,51952,13538
48371,Valery,Krupka,Senior Staff,2002-06-16,60182,7065,12771
486925,Saeed,Hatcliff,Senior Engineer,2002-06-16,44066,52346,13538
409685,Hausi,Brandsma,Senior Engineer,2002-06-16,43218,38469,13538
47293,Unal,Beidas,Senior Engineer,2002-06-16,40000,6879,13538
33216,Zdislav,Thombley,Senior Staff,2002-06-15,68912,4319,12771
405774,Weiyi,Cmelik,Senior Engineer,2002-06-14,40000,37711,13538
234703,Deborah,Levasseur,Engineer,2002-06-14,58316,24880,2696
242863,Debaprosad,Otillio,Senior Staff,2002-06-14,55529,26279,12771
85811,Dayanand,Bain,Senior Engineer,2002-06-13,60982,14075,13538
19744,Aleksander,Skafidas,Senior Engineer,2002-06-13,59739,1758,13538
50590,Leucio,Calkin,Senior Engineer,2002-06-13,40000,7500,13538
243208,Sachin,Biros,Senior Staff,2002-06-13,40000,26352,12771
427817,Vishv,Kading,Senior Engineer,2002-06-13,40000,41693,13538
92983,Masoud,Rosca,Senior Engineer,2002-06-12,48444,15397,13538
445410,Elvia,Brodie,Senior Engineer,2002-06-12,66788,44740,13538
35865,Claudi,Fujisaki,Senior Engineer,2002-06-11,40000,4757,13538
452451,Duro,Matzen,Engineer,2002-06-10,64113,46009,2696
407956,Yonghong,Kawashima,Senior Staff,2002-06-10,91362,38150,12771
401298,Narain,Plotkin,Senior Staff,2002-06-09,40000,36912,12771
450217,Petter,Gluchowski,Senior Engineer,2002-06-09,40000,45608,13538
64969,Jasminko,Kawashima,Senior Engineer,2002-06-09,40000,10142,13538
484282,Tetsushi,Anick,Senior Staff,2002-06-09,53111,51851,12771
482539,Bikash,Pehl,Senior Engineer,2002-06-08,40000,51506,13538
407824,Sreekrishna,Kalsbeek,Senior Engineer,2002-06-08,64167,38127,13538
102483,Qingxiang,Boissier,Senior Engineer,2002-06-07,40000,17124,13538
44060,Luigi,Brattka,Senior Engineer,2002-06-07,40000,6245,13538
228524,Erzsebet,Androutsos,Senior Engineer,2002-06-07,40000,23715,13538
451441,Sahrah,Rijckaert,Senior Staff,2002-06-07,56396,45843,12771
447132,Masaru,Crelier,Senior Staff,2002-06-06,50938,45067,12771
489782,Jiong,Schnabel,Senior Engineer,2002-06-06,60818,52843,13538
108985,Masanao,Bressoud,Senior Engineer,2002-06-06,59458,18355,13538
65568,Mark,Ventosa,Senior Engineer,2002-06-06,44039,10260,13538
39883,Moriyoshi,Luan,Senior Engineer,2002-06-06,40000,5510,13538
419062,Stafford,Walstra,Senior Engineer,2002-06-05,70299,40112,13538
108179,Constantijn,Crelier,Senior Engineer,2002-06-05,54941,18223,13538
400141,Suebskul,Rassart,Senior Engineer,2002-06-04,46768,36693,13538
84809,Hironoby,Zobel,Senior Engineer,2002-06-03,40000,13866,13538
250129,Karoline,Duclos,Senior Engineer,2002-06-03,40000,27551,13538
29120,Parto,Bergere,Senior Staff,2002-06-03,85465,3544,12771
96083,Khalil,Muchinsky,Senior Staff,2002-06-03,47965,15978,12771
465904,Lorien,Schmezko,Senior Engineer,2002-06-02,40000,48487,13538
229461,Berto,Raczkowsky,Senior Staff,2002-06-02,77682,23876,12771
438544,Faiza,Lukaszewicz,Senior Engineer,2002-06-02,40000,43540,13538
409153,Arie,Backhouse,Senior Staff,2002-06-02,80090,38388,12771
298276,Zito,Sgarro,Senior Engineer,2002-06-01,40000,36345,13538
202360,Indrajit,Jeong,Senior Staff,2002-06-01,48372,18972,12771
14723,Constantino,Assaf,Senior Staff,2002-06-01,40000,818,12771
18946,Gio,Warwick,Senior Engineer,2002-06-01,40000,1586,13538
437678,Val,Pocchiola,Senior Engineer,2002-06-01,44462,43390,13538
27396,Brendon,Zykh,Senior Engineer,2002-06-01,55838,3201,13538
91228,Hauke,Leijenhorst,Senior Engineer,2002-05-31,54436,15102,13538
274044,Yuchang,Erni,Senior Engineer,2002-05-30,55056,31900,13538
34600,Godehard,Middleton,Senior Staff,2002-05-29,67242,4543,12771
229649,DAIDA,Montresor,Senior Engineer,2002-05-29,40000,23915,13538
413791,Jiong,Zaumen,Senior Staff,2002-05-28,60814,39186,12771
262663,Fumino,Riexinger,Senior Staff,2002-05-28,42308,29831,12771
480670,Sanjoy,Penz,Senior Staff,2002-05-28,92833,51141,12771
473812,Khue,Levergood,Senior Staff,2002-05-28,79856,49915,12771
498311,Rajmohan,Zeidenstein,Senior Staff,2002-05-27,46937,54433,12771
261527,Arunachalam,Butner,Senior Engineer,2002-05-27,41800,29638,13538
284056,Tze,Ambroszkiewicz,Senior Engineer,2002-05-27,63252,33699,13538
30948,Xinan,Lunt,Senior Engineer,2002-05-27,50840,3880,13538
266827,Udi,Gronowski,Senior Engineer,2002-05-26,40000,30621,13538
93291,Kasidit,Hofstetter,Senior Staff,2002-05-26,60896,15456,12771
65663,Rafael,Leppanen,Senior Engineer,2002-05-26,50166,10285,13538
412444,Gio,Fritzsche,Senior Engineer,2002-05-26,53835,38946,13538
449520,Navid,Mansanne,Senior Staff,2002-05-26,40000,45491,12771
444553,Nikolaus,Gluchowski,Senior Staff,2002-05-25,97585,44544,12771
285348,Jianhui,Bardell,Senior Engineer,2002-05-24,40000,33973,13538
67227,Shuky,Showalter,Senior Engineer,2002-05-24,40000,10563,13538
39405,Toong,Millington,Senior Engineer,2002-05-24,50102,5424,13538
412093,Avishai,Engelmann,Senior Staff,2002-05-23,91917,38882,12771
109010,Shaibal,Yavatkar,Senior Engineer,2002-05-23,40000,18363,13538
416096,Nobuyoshi,Ginneken,Senior Engineer,2002-05-23,47236,39604,13538
203318,Xudong,Cooley,Senior Engineer,2002-05-21,56536,19161,13538
471991,Janche,Farrag,Senior Engineer,2002-05-21,40000,49588,13538
290062,Godehard,Morrow,Senior Staff,2002-05-21,66211,34827,12771
64556,Xiaopeng,Fritzsche,Senior Engineer,2002-05-21,40000,10072,13538
455054,Ingemar,Lores,Senior Staff,2002-05-21,63990,46469,12771
459483,Shmuel,Docker,Senior Staff,2002-05-21,69722,47299,12771
481695,Bikash,Pusterhofer,Senior Staff,2002-05-21,40000,51346,12771
19120,Giri,Qiwen,Engineer,2002-05-20,49416,1629,2696
70164,Ult,Bergere,Senior Engineer,2002-05-20,52833,11076,13538
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,58731,192,13538
277729,Shirish,Nanard,Senior Staff,2002-05-19,40000,32543,12771
266333,Moss,Oppitz,Senior Staff,2002-05-19,52343,30542,12771
87769,Subhrajyoti,Tomescu,Senior Engineer,2002-05-19,76979,14463,13538
59242,Fun,Peak,Senior Staff,2002-05-19,65859,9118,12771
281084,Sven,Bugaenko,Senior Engineer,2002-05-18,41542,33165,13538
472720,Gal,Sudbeck,Senior Engineer,2002-05-18,40000,49725,13538
274463,Uli,Glowinski,Senior Engineer,2002-05-17,40000,31973,13538
412644,Gritta,Kropatsch,Senior Staff,2002-05-17,56090,38977,12771
401000,Barry,Reeker,Senior Engineer,2002-05-16,70084,36854,13538
401410,Hitomi,Domenig,Senior Staff,2002-05-16,40000,36928,12771
459031,Kazuhiro,Raoux,Senior Staff,2002-05-16,55137,47212,12771
464504,Weiwu,Shrader,Senior Staff,2002-05-16,60909,48245,12771
266049,Odysseas,Delaune,Senior Staff,2002-05-15,67285,30489,12771
283496,Kenroku,Flasterstein,Senior Staff,2002-05-15,69688,33607,12771
486372,Hsiangchu,Renear,Senior Staff,2002-05-14,63537,52241,12771
431480,Zhigen,Christ,Senior Staff,2002-05-13,63778,42294,12771
467357,Suebskul,Lichtman,Senior Engineer,2002-05-13,48994,48716,13538
274554,Sakthirel,Rattan,Senior Engineer,2002-05-13,56199,31991,13538
31956,Ziyad,Gecsei,Senior Staff,2002-05-13,59475,4079,12771
292776,Marie,Zeidenstein,Senior Staff,2002-05-12,42843,35323,12771
271603,Szabolcs,Carrere,Senior Staff,2002-05-12,40000,31465,12771
36874,Genki,Aloia,Senior Staff,2002-05-11,62935,4938,12771
108053,Abdelghani,Nilsson,Senior Staff,2002-05-11,76316,18194,12771
65858,Martins,Awdeh,Senior Engineer,2002-05-11,40189,10329,13538
475221,Yuqun,Rassart,Senior Engineer,2002-05-10,65150,50144,13538
35046,Sachem,Luders,Senior Staff,2002-05-10,62184,4617,12771
474895,Michaela,Hertweck,Senior Staff,2002-05-10,46350,50082,12771
471529,Munir,Aloia,Senior Staff,2002-05-10,76906,49484,12771
476933,Mayuri,Kobara,Senior Staff,2002-05-10,40000,50486,12771
264126,Toshiki,Thimonier,Engineer,2002-05-09,71356,30103,2696
204131,Kazuhira,Luit,Senior Staff,2002-05-09,40000,19299,12771
202418,Xumin,Vuskovic,Senior Staff,2002-05-09,55459,18988,12771
23369,Khalil,Zykh,Senior Staff,2002-05-09,61057,2420,12771
422685,Reinhard,Oxman,Senior Engineer,2002-05-08,71169,40778,13538
426864,Dines,Rissanen,Senior Engineer,2002-05-08,58175,41494,13538
99161,Ramya,Heyers,Senior Engineer,2002-05-08,51933,16524,13538
417510,Yonghong,Ernst,Senior Staff,2002-05-08,57967,39837,12771
419470,Larisa,Antonakopoulos,Senior Staff,2002-05-07,40000,40180,12771
271272,Willard,Matheson,Senior Engineer,2002-05-07,40000,31401,13538
287152,Raimond,Comte,Senior Staff,2002-05-07,40000,34303,12771
66425,Mats,Eppinger,Senior Engineer,2002-05-07,57825,10424,13538
223927,Bernice,Furudate,Senior Engineer,2002-05-07,40000,22897,13538
481872,Moty,Usdin,Senior Engineer,2002-05-07,40000,51370,13538
444641,Unal,Zallocco,Senior Engineer,2002-05-06,58458,44563,13538
426274,Valdiodio,Pillow,Senior Engineer,2002-05-06,59911,41391,13538
498670,Aram,Menyhert,Senior Staff,2002-05-06,69027,54496,12771
16000,Marek,Demos,Senior Engineer,2002-05-05,40000,1079,13538
228655,Jiong,Blokdijk,Senior Staff,2002-05-05,71596,23738,12771
422614,Anneke,Wuwongse,Senior Engineer,2002-05-05,40000,40755,13538
107245,Horward,Docker,Senior Staff,2002-05-05,68492,18030,12771
18933,Barun,Panienski,Senior Engineer,2002-05-04,47862,1582,13538
99981,Rimon,Grandbois,Senior Engineer,2002-05-03,48230,16668,13538
415404,Zhongwei,Gonthier,Senior Engineer,2002-05-03,40000,39451,13538
272945,Tran,Mayerwieser,Senior Engineer,2002-05-03,40000,31702,13538
45828,Panayotis,Litzkow,Senior Engineer,2002-05-02,65770,6596,13538
411544,Byong,Legleitner,Senior Staff,2002-05-02,71666,38777,12771
70530,Qunsheng,Stille,Senior Engineer,2002-05-02,40000,11137,13538
297486,Qingxiang,Ducloy,Senior Staff,2002-05-02,40000,36189,12771
442862,Munehiro,Dayang,Senior Staff,2002-05-02,43013,44270,12771
254292,Pranas,Eppinger,Senior Staff,2002-05-01,82442,28287,12771
221356,Pradeep,Hagimont,Senior Engineer,2002-05-01,43732,22419,13538
293946,Nadjib,Merro,Senior Staff,2002-05-01,45167,35516,12771
413671,Aral,Moehrke,Senior Staff,2002-04-30,78073,39168,12771
284809,Tru,Danner,Senior Engineer,2002-04-30,76478,33867,13538
271344,Eckart,Rodiger,Senior Staff,2002-04-30,40000,31415,12771
216965,Badri,Birke,Senior Staff,2002-04-30,54761,21594,12771
217451,Sanjoy,Giarratana,Senior Staff,2002-04-30,57706,21675,12771
238847,Barton,Buchter,Senior Engineer,2002-04-29,40000,25603,13538
206416,Ronnie,Kopetz,Senior Staff,2002-04-29,59918,19730,12771
232416,Tokuyasu,Binkley,Senior Engineer,2002-04-29,59754,24420,13538
254043,Saddek,Peng,Senior Staff,2002-04-29,40000,28243,12771
490337,Faiza,Clemencon,Senior Engineer,2002-04-29,40000,52964,13538
448037,Niclas,Trachtenberg,Senior Engineer,2002-04-28,57671,45195,13538
210671,Serap,Tsukuda,Senior Staff,2002-04-28,40000,20517,12771
90261,Rimli,Merle,Senior Engineer,2002-04-28,40000,14924,13538
460851,Uzi,Anily,Senior Staff,2002-04-28,40000,47542,12771
447008,Zsolt,Cooman,Senior Staff,2002-04-27,67211,45040,12771
230188,Snehasis,Krychniak,Senior Staff,2002-04-27,40000,23995,12771
214078,Surveyors,Merli,Senior Staff,2002-04-27,76255,21079,12771
75589,Sudharsan,Ghazalie,Senior Staff,2002-04-27,41806,12075,12771
462140,Josyula,Chleq,Senior Engineer,2002-04-26,40000,47805,13538
44875,Goh,Reinhart,Senior Staff,2002-04-26,73457,6398,12771
485212,Magdalena,Besancenot,Senior Engineer,2002-04-26,40000,52035,13538
226987,Arif,Delgrossi,Engineer,2002-04-25,55209,23467,2696
107101,Moni,Crabtree,Senior Engineer,2002-04-24,40232,18010,13538
97104,Chiranjit,Ashish,Senior Engineer,2002-04-23,60436,16145,13538
218927,Saddek,Jenevein,Senior Staff,2002-04-23,60013,21963,12771
481526,Shim,Stemann,Senior Engineer,2002-04-22,40000,51311,13538
108627,Kenroku,Harbusch,Senior Staff,2002-04-22,56920,18293,12771
214753,Stafford,dAstous,Senior Engineer,2002-04-22,40000,21191,13538
263061,Xiaobin,Jenevein,Senior Staff,2002-04-21,65580,29892,12771
424205,Paris,Shumilov,Senior Engineer,2002-04-21,40000,41028,13538
244654,Suzette,Katiyar,Senior Engineer,2002-04-21,55724,26597,13538
413911,Siamak,Karlin,Senior Engineer,2002-04-21,65383,39205,13538
297639,Serenella,Auyong,Senior Engineer,2002-04-21,48298,36219,13538
228285,Weiwu,Pollock,Senior Engineer,2002-04-21,40000,23679,13538
212742,Gal,Melter,Senior Staff,2002-04-20,69846,20850,12771
292464,Gennady,Choobineh,Senior Engineer,2002-04-19,40000,35259,13538
72400,Charmane,Merel,Senior Staff,2002-04-19,40000,11471,12771
424250,Suzette,Wendorf,Senior Staff,2002-04-19,63665,41035,12771
19422,Florian,Budinsky,Senior Engineer,2002-04-18,48435,1680,13538
456361,Bouchung,Georgatos,Senior Engineer,2002-04-18,40000,46710,13538
267012,Armond,Lodder,Senior Engineer,2002-04-17,49569,30655,13538
435126,Zeydy,Bernardeschi,Senior Staff,2002-04-17,41687,42934,12771
19493,Caolyn,Tramer,Senior Engineer,2002-04-16,59120,1691,13538
410029,Martins,Lung,Senior Engineer,2002-04-16,63720,38534,13538
86674,Fumiya,Candan,Senior Staff,2002-04-16,40000,14247,12771
410798,Fumiyo,Plumb,Senior Engineer,2002-04-16,51953,38664,13538
98766,Gretta,Buchter,Senior Engineer,2002-04-16,69215,16455,13538
439518,Kenroku,Homond,Senior Engineer,2002-04-15,40000,43717,13538
105886,Stafford,Mitchem,Senior Staff,2002-04-15,79210,17764,12771
259726,Houman,Cyne,Senior Engineer,2002-04-15,40000,29309,13538
202677,LiMin,Decaestecker,Senior Engineer,2002-04-15,40000,19037,13538
239287,Mario,Katiyar,Senior Engineer,2002-04-14,48533,25705,13538
401593,Susanna,Seiwald,Senior Staff,2002-04-14,65315,36953,12771
438267,Malu,Sichman,Senior Staff,2002-04-14,44058,43476,12771
474388,Shooichi,Bach,Senior Staff,2002-04-14,64476,50000,12771
443823,Chaitali,Axelband,Senior Staff,2002-04-13,54033,44425,12771
104941,Yonghong,Schaap,Senior Engineer,2002-04-13,43708,17577,13538
216138,Giordano,Shanbhogue,Senior Engineer,2002-04-13,40000,21454,13538
481502,Bikash,Fordan,Senior Engineer,2002-04-13,40000,51303,13538
440010,King,Lamma,Senior Engineer,2002-04-12,40000,43790,13538
266708,Nahid,Ariola,Senior Engineer,2002-04-12,40000,30593,13538
444370,Masanao,Genin,Senior Staff,2002-04-12,40000,44508,12771
440400,Vasiliy,Karlin,Senior Staff,2002-04-11,73947,43879,12771
268436,Phuoc,Onuegbe,Senior Engineer,2002-04-11,40000,30879,13538
287646,Otilia,Etalle,Senior Engineer,2002-04-11,40000,34396,13538
212042,Sigeru,Brizzi,Senior Staff,2002-04-09,46054,20725,12771
292712,Gro,Leuchs,Senior Engineer,2002-04-08,55328,35307,13538
39323,Zita,Ratnaker,Senior Engineer,2002-04-08,53506,5415,13538
487849,Sanjiv,Perna,Senior Engineer,2002-04-08,47070,52526,13538
262566,Rafols,Ladret,Senior Engineer,2002-04-08,40000,29820,13538
